method,runtime,input_size
brute-force,53.63206720352173,2500
brute-force,42.73333406448364,2500
brute-force,44.79075860977173,2500
brute-force,43.63801836967468,2500
brute-force,43.09606122970581,2500
brute-force,42.9251127243042,2500
brute-force,47.16817927360535,2500
brute-force,43.16713547706604,2500
brute-force,42.93531537055969,2500
brute-force,42.733622789382935,2500
combinatorial-lookup,1.7294273376464844,2500
combinatorial-lookup,1.7503819465637207,2500
combinatorial-lookup,0.931631326675415,2500
combinatorial-lookup,0.9290909767150879,2500
combinatorial-lookup,0.9188408851623535,2500
combinatorial-lookup,0.930511474609375,2500
combinatorial-lookup,0.9163961410522461,2500
combinatorial-lookup,0.9168293476104736,2500
combinatorial-lookup,0.9247250556945801,2500
combinatorial-lookup,0.9288511276245117,2500
kdtree,0.39192867279052734,2500
kdtree,0.40220141410827637,2500
kdtree,0.40493249893188477,2500
kdtree,0.5541379451751709,2500
kdtree,0.3952782154083252,2500
kdtree,0.40852928161621094,2500
kdtree,0.664501428604126,2500
kdtree,0.7123045921325684,2500
kdtree,0.7149922847747803,2500
kdtree,0.7074923515319824,2500
bktree,0.8272199630737305,2500
bktree,0.4337642192840576,2500
bktree,0.41718339920043945,2500
bktree,0.4515109062194824,2500
bktree,0.44234466552734375,2500
bktree,0.4396476745605469,2500
bktree,0.44829559326171875,2500
bktree,0.4438819885253906,2500
bktree,0.4209902286529541,2500
bktree,0.44344305992126465,2500
brute-force,179.3346552848816,5000
brute-force,178.9949038028717,5000
brute-force,179.30170702934265,5000
brute-force,176.61061310768127,5000
brute-force,179.14577102661133,5000
brute-force,180.860520362854,5000
brute-force,177.54804944992065,5000
brute-force,180.48232531547546,5000
brute-force,178.07820320129395,5000
brute-force,178.1415717601776,5000
combinatorial-lookup,1.8410024642944336,5000
combinatorial-lookup,3.437731981277466,5000
combinatorial-lookup,2.0917763710021973,5000
combinatorial-lookup,1.8898029327392578,5000
combinatorial-lookup,1.8447134494781494,5000
combinatorial-lookup,1.8422155380249023,5000
combinatorial-lookup,1.8453810214996338,5000
combinatorial-lookup,3.0505497455596924,5000
combinatorial-lookup,2.3335864543914795,5000
combinatorial-lookup,1.884455680847168,5000
kdtree,1.2875709533691406,5000
kdtree,1.2911298274993896,5000
kdtree,1.3854191303253174,5000
kdtree,1.2617578506469727,5000
kdtree,1.2770295143127441,5000
kdtree,1.926269292831421,5000
kdtree,2.2093143463134766,5000
kdtree,1.26414155960083,5000
kdtree,1.2532799243927002,5000
kdtree,1.2388348579406738,5000
bktree,1.3974220752716064,5000
bktree,1.517125129699707,5000
bktree,1.4499104022979736,5000
bktree,1.4232146739959717,5000
bktree,2.4140424728393555,5000
bktree,1.9887685775756836,5000
bktree,1.4311673641204834,5000
bktree,1.445063829421997,5000
bktree,1.5851850509643555,5000
bktree,1.507274866104126,5000
combinatorial-lookup,4.138182878494263,10000
combinatorial-lookup,4.928633689880371,10000
combinatorial-lookup,3.702451467514038,10000
combinatorial-lookup,3.8502328395843506,10000
combinatorial-lookup,5.39652156829834,10000
combinatorial-lookup,3.723249912261963,10000
combinatorial-lookup,3.7812087535858154,10000
combinatorial-lookup,5.447940349578857,10000
combinatorial-lookup,3.679727077484131,10000
combinatorial-lookup,3.7498655319213867,10000
kdtree,5.701520204544067,10000
kdtree,4.3749635219573975,10000
kdtree,4.236594915390015,10000
kdtree,5.724222421646118,10000
kdtree,4.184571266174316,10000
kdtree,4.274218559265137,10000
kdtree,5.781477928161621,10000
kdtree,4.283518075942993,10000
kdtree,4.784288167953491,10000
kdtree,5.156909227371216,10000
bktree,5.008295059204102,10000
bktree,6.536949872970581,10000
bktree,5.1255784034729,10000
bktree,6.647332191467285,10000
bktree,4.993364572525024,10000
bktree,5.312179803848267,10000
bktree,6.390287160873413,10000
bktree,5.238505601882935,10000
bktree,6.534753084182739,10000
bktree,5.1631529331207275,10000
combinatorial-lookup,9.297363042831421,20000
combinatorial-lookup,8.947529792785645,20000
combinatorial-lookup,7.953675031661987,20000
combinatorial-lookup,9.312721014022827,20000
combinatorial-lookup,8.084603786468506,20000
combinatorial-lookup,8.830719709396362,20000
combinatorial-lookup,9.27845025062561,20000
combinatorial-lookup,7.667897462844849,20000
combinatorial-lookup,9.21195101737976,20000
combinatorial-lookup,9.388546466827393,20000
kdtree,18.009279489517212,20000
kdtree,16.264464616775513,20000
kdtree,17.987853288650513,20000
kdtree,16.305441856384277,20000
kdtree,16.486066818237305,20000
kdtree,16.40786838531494,20000
kdtree,17.97094964981079,20000
kdtree,16.37481999397278,20000
kdtree,16.557137489318848,20000
kdtree,16.653765439987183,20000
bktree,19.736634731292725,20000
bktree,18.671276807785034,20000
bktree,19.679367065429688,20000
bktree,18.555996417999268,20000
bktree,20.501282215118408,20000
bktree,19.1327166557312,20000
bktree,20.266883850097656,20000
bktree,18.802741527557373,20000
bktree,21.702080488204956,20000
bktree,18.876340627670288,20000
combinatorial-lookup,19.247294187545776,40000
combinatorial-lookup,17.597650051116943,40000
combinatorial-lookup,17.924574613571167,40000
combinatorial-lookup,18.809393882751465,40000
combinatorial-lookup,17.77203392982483,40000
combinatorial-lookup,19.31496834754944,40000
combinatorial-lookup,17.577829599380493,40000
combinatorial-lookup,17.52024507522583,40000
combinatorial-lookup,19.23679280281067,40000
combinatorial-lookup,17.604747772216797,40000
kdtree,66.24009108543396,40000
kdtree,70.70867609977722,40000
kdtree,68.71179294586182,40000
kdtree,65.92007946968079,40000
kdtree,67.05049228668213,40000
kdtree,65.92101621627808,40000
kdtree,67.37081861495972,40000
kdtree,65.13477087020874,40000
kdtree,65.75507402420044,40000
kdtree,65.47308349609375,40000
bktree,67.06991267204285,40000
bktree,64.19361996650696,40000
bktree,65.85627245903015,40000
bktree,64.71381163597107,40000
bktree,65.14282584190369,40000
bktree,64.67600989341736,40000
bktree,64.1023199558258,40000
bktree,67.55737853050232,40000
bktree,67.28156805038452,40000
bktree,67.86973214149475,40000
