method,runtime,input_size
kdtree_gpu_T4_highram,0.24838757514953613,2500
kdtree_gpu_T4_highram,0.24294090270996094,2500
kdtree_gpu_T4_highram,0.24258208274841309,2500
kdtree_gpu_T4_highram,0.24164199829101562,2500
kdtree_gpu_T4_highram,0.24341940879821777,2500
kdtree_gpu_T4_highram,0.2348158359527588,2500
kdtree_gpu_T4_highram,0.23996806144714355,2500
kdtree_gpu_T4_highram,0.23924708366394043,2500
kdtree_gpu_T4_highram,0.23995494842529297,2500
kdtree_gpu_T4_highram,0.24010419845581055,2500
kdtree_gpu_T4_highram,0.402756929397583,10000
kdtree_gpu_T4_highram,0.40312838554382324,10000
kdtree_gpu_T4_highram,0.40635013580322266,10000
kdtree_gpu_T4_highram,0.4002501964569092,10000
kdtree_gpu_T4_highram,0.39228248596191406,10000
kdtree_gpu_T4_highram,0.3871498107910156,10000
kdtree_gpu_T4_highram,0.39182376861572266,10000
kdtree_gpu_T4_highram,0.38848114013671875,10000
kdtree_gpu_T4_highram,0.3927574157714844,10000
kdtree_gpu_T4_highram,0.3861429691314697,10000
kdtree_gpu_T4_highram,1.5553815364837646,40000
kdtree_gpu_T4_highram,1.4392292499542236,40000
kdtree_gpu_T4_highram,1.4627728462219238,40000
kdtree_gpu_T4_highram,1.481907606124878,40000
kdtree_gpu_T4_highram,1.4489104747772217,40000
kdtree_gpu_T4_highram,1.4464130401611328,40000
kdtree_gpu_T4_highram,1.4711198806762695,40000
kdtree_gpu_T4_highram,1.4507553577423096,40000
kdtree_gpu_T4_highram,1.4546983242034912,40000
kdtree_gpu_T4_highram,1.474586009979248,40000
kdtree_gpu_T4_highram,27.584556818008423,160000
kdtree_gpu_T4_highram,27.590182781219482,160000
kdtree_gpu_T4_highram,27.556908130645752,160000
kdtree_gpu_T4_highram,27.64862608909607,160000
kdtree_gpu_T4_highram,27.597012281417847,160000
kdtree_gpu_T4_highram,27.715453386306763,160000
kdtree_gpu_T4_highram,28.03709578514099,160000
kdtree_gpu_T4_highram,27.877288103103638,160000
kdtree_gpu_T4_highram,28.10587453842163,160000
kdtree_gpu_T4_highram,28.205646514892578,160000
kdtree_gpu_T4_highram,771.8361523151398,800000
kdtree_gpu_T4_highram,775.8944153785706,800000
kdtree_gpu_T4_highram,772.8486440181732,800000
kdtree_gpu_T4_highram,770.9542033672333,800000
kdtree_gpu_T4_highram,769.7647747993469,800000
kdtree_gpu_T4_highram,770.4313929080963,800000
kdtree_gpu_T4_highram,771.027489900589,800000
kdtree_gpu_T4_highram,771.5871317386627,800000
kdtree_gpu_T4_highram,771.5527527332306,800000
kdtree_gpu_T4_highram,771.1269903182983,800000
